date,venue,teams,toss_winner,toss_decision,match_winner,players
2015-04-09,"MA Chidambaram Stadium, Chepauk","('Chennai Super Kings', 'Delhi Daredevils')",Delhi Daredevils,field,Chennai Super Kings,"(('A Nehra', 'BB McCullum', 'DJ Bravo', 'DR Smith', 'F du Plessis', 'IC Pandey', 'MM Sharma', 'MS Dhoni', 'R Ashwin', 'RA Jadeja', 'SK Raina'), ('A Mishra', 'CM Gautam', 'DJ Muthuswami', 'Imran Tahir', 'JA Morkel', 'JP Duminy', 'KM Jadhav', 'MA Agarwal', 'NM Coulter-Nile', 'SS Iyer', 'Yuvraj Singh'))"
2024-03-25,"M Chinnaswamy Stadium, Bengaluru","('Punjab Kings', 'Royal Challengers Bengaluru')",Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,"(('Arshdeep Singh', 'HV Patel', 'Harpreet Brar', 'JM Bairstow', 'JM Sharma', 'K Rabada', 'LS Livingstone', 'P Simran Singh', 'RD Chahar', 'S Dhawan', 'SM Curran', 'Shashank Singh'), ('AS Joseph', 'Anuj Rawat', 'C Green', 'F du Plessis', 'GJ Maxwell', 'KD Karthik', 'MK Lomror', 'Mayank Dagar', 'Mohammed Siraj', 'RM Patidar', 'V Kohli', 'Yash Dayal'))"
2013-05-14,M Chinnaswamy Stadium,"('Kings XI Punjab', 'Royal Challengers Bangalore')",Kings XI Punjab,field,Kings XI Punjab,"(('AC Gilchrist', 'Azhar Mahmood', 'DA Miller', 'M Vohra', 'MS Gony', 'Mandeep Singh', 'P Awana', 'PP Chawla', 'R Sathish', 'SE Marsh', 'Sandeep Sharma'), ('AB de Villiers', 'CA Pujara', 'CH Gayle', 'JD Unadkat', 'KB Arun Karthik', 'KL Rahul', 'M Muralitharan', 'MC Henriques', 'R Vinay Kumar', 'V Kohli', 'Z Khan'))"
2017-04-22,Maharashtra Cricket Association Stadium,"('Rising Pune Supergiant', 'Sunrisers Hyderabad')",Rising Pune Supergiant,field,Rising Pune Supergiant,"(('AM Rahane', 'BA Stokes', 'DT Christian', 'Imran Tahir', 'JD Unadkat', 'MK Tiwary', 'MS Dhoni', 'RA Tripathi', 'SN Thakur', 'SPD Smith', 'Washington Sundar'), ('B Kumar', 'Bipul Sharma', 'DA Warner', 'DJ Hooda', 'KS Williamson', 'MC Henriques', 'Mohammed Siraj', 'NV Ojha', 'Rashid Khan', 'S Dhawan', 'S Kaul'))"
2023-05-23,"MA Chidambaram Stadium, Chepauk, Chennai","('Chennai Super Kings', 'Gujarat Titans')",Gujarat Titans,field,Chennai Super Kings,"(('AM Rahane', 'AT Rayudu', 'DL Chahar', 'DP Conway', 'M Pathirana', 'M Theekshana', 'MM Ali', 'MS Dhoni', 'RA Jadeja', 'RD Gaikwad', 'S Dube', 'TU Deshpande'), ('DA Miller', 'DG Nalkande', 'HH Pandya', 'MD Shanaka', 'MM Sharma', 'Mohammed Shami', 'Noor Ahmad', 'R Tewatia', 'Rashid Khan', 'Shubman Gill', 'V Shankar', 'WP Saha'))"
2021-09-25,"Zayed Cricket Stadium, Abu Dhabi","('Delhi Capitals', 'Rajasthan Royals')",Rajasthan Royals,field,Delhi Capitals,"(('A Nortje', 'AR Patel', 'Avesh Khan', 'K Rabada', 'Lalit Yadav', 'PP Shaw', 'R Ashwin', 'RR Pant', 'S Dhawan', 'SO Hetmyer', 'SS Iyer'), ('C Sakariya', 'DA Miller', 'Kartik Tyagi', 'LS Livingstone', 'MK Lomror', 'Mustafizur Rahman', 'R Parag', 'R Tewatia', 'SV Samson', 'T Shamsi', 'YBK Jaiswal'))"
2018-05-13,Wankhede Stadium,"('Mumbai Indians', 'Rajasthan Royals')",Rajasthan Royals,field,Rajasthan Royals,"(('BCJ Cutting', 'E Lewis', 'HH Pandya', 'Ishan Kishan', 'JJ Bumrah', 'JP Duminy', 'KH Pandya', 'M Markande', 'MJ McClenaghan', 'RG Sharma', 'SA Yadav'), ('AM Rahane', 'BA Stokes', 'DJM Short', 'DS Kulkarni', 'JC Archer', 'JC Buttler', 'JD Unadkat', 'K Gowtham', 'S Gopal', 'STR Binny', 'SV Samson'))"
2016-05-03,Saurashtra Cricket Association Stadium,"('Delhi Daredevils', 'Gujarat Lions')",Delhi Daredevils,field,Delhi Daredevils,"(('A Mishra', 'CH Morris', 'JP Duminy', 'KK Nair', 'Mohammed Shami', 'Q de Kock', 'RR Pant', 'S Nadeem', 'SV Samson', 'SW Billings', 'Z Khan'), ('AJ Finch', 'BB McCullum', 'DR Smith', 'DS Kulkarni', 'Ishan Kishan', 'JP Faulkner', 'KD Karthik', 'P Kumar', 'RA Jadeja', 'S Kaushik', 'SK Raina'))"
2023-04-05,"Barsapara Cricket Stadium, Guwahati","('Punjab Kings', 'Rajasthan Royals')",Rajasthan Royals,field,Punjab Kings,"(('Arshdeep Singh', 'Harpreet Brar', 'JM Sharma', 'M Shahrukh Khan', 'NT Ellis', 'P Simran Singh', 'PBB Rajapaksa', 'R Dhawan', 'RD Chahar', 'S Dhawan', 'SM Curran', 'Sikandar Raza'), ('D Padikkal', 'Dhruv Jurel', 'JC Buttler', 'JO Holder', 'KM Asif', 'R Ashwin', 'R Parag', 'SO Hetmyer', 'SV Samson', 'TA Boult', 'YBK Jaiswal', 'YS Chahal'))"
2009-05-23,New Wanderers Stadium,"('Chennai Super Kings', 'Royal Challengers Bangalore')",Royal Challengers Bangalore,field,Royal Challengers Bangalore,"(('JA Morkel', 'JDP Oram', 'L Balaji', 'M Muralitharan', 'ML Hayden', 'MS Dhoni', 'MS Gony', 'PA Patel', 'S Badrinath', 'SB Jakati', 'SK Raina'), ('A Kumble', 'JH Kallis', 'LRPL Taylor', 'MK Pandey', 'MV Boucher', 'P Kumar', 'R Dravid', 'R Vinay Kumar', 'RE van der Merwe', 'RV Uthappa', 'V Kohli'))"
2023-05-09,"Wankhede Stadium, Mumbai","('Mumbai Indians', 'Royal Challengers Bangalore')",Mumbai Indians,field,Mumbai Indians,"(('Akash Madhwal', 'C Green', 'CJ Jordan', 'Ishan Kishan', 'JP Behrendorff', 'K Kartikeya', 'N Wadhera', 'PP Chawla', 'RG Sharma', 'SA Yadav', 'TH David'), ('Anuj Rawat', 'F du Plessis', 'GJ Maxwell', 'HV Patel', 'JR Hazlewood', 'KD Karthik', 'KM Jadhav', 'MK Lomror', 'Mohammed Siraj', 'PWH de Silva', 'V Kohli', 'Vijaykumar Vyshak'))"
2021-04-26,"Narendra Modi Stadium, Ahmedabad","('Kolkata Knight Riders', 'Punjab Kings')",Kolkata Knight Riders,field,Kolkata Knight Riders,"(('AD Russell', 'CV Varun', 'EJG Morgan', 'KD Karthik', 'M Prasidh Krishna', 'N Rana', 'PJ Cummins', 'RA Tripathi', 'SP Narine', 'Shivam Mavi', 'Shubman Gill'), ('Arshdeep Singh', 'CH Gayle', 'CJ Jordan', 'DJ Hooda', 'KL Rahul', 'M Shahrukh Khan', 'MA Agarwal', 'MC Henriques', 'Mohammed Shami', 'N Pooran', 'Ravi Bishnoi'))"
2013-05-09,Subrata Roy Sahara Stadium,"('Kolkata Knight Riders', 'Pune Warriors')",Kolkata Knight Riders,bat,Kolkata Knight Riders,"(('EJG Morgan', 'G Gambhir', 'Iqbal Abdulla', 'JH Kallis', 'L Balaji', 'MK Tiwary', 'MS Bisla', 'R Bhatia', 'RN ten Doeschate', 'SP Narine', 'YK Pathan'), ('AD Mathews', 'AJ Finch', 'B Kumar', 'K Upadhyay', 'M Rawat', 'MR Marsh', 'Parvez Rasool', 'RV Uthappa', 'UA Birla', 'WD Parnell', 'Yuvraj Singh'))"
2024-04-01,"Wankhede Stadium, Mumbai","('Mumbai Indians', 'Rajasthan Royals')",Rajasthan Royals,field,Rajasthan Royals,"(('Akash Madhwal', 'D Brevis', 'G Coetzee', 'HH Pandya', 'Ishan Kishan', 'JJ Bumrah', 'KT Maphaka', 'Naman Dhir', 'PP Chawla', 'RG Sharma', 'TH David', 'Tilak Varma'), ('Avesh Khan', 'Dhruv Jurel', 'JC Buttler', 'N Burger', 'R Ashwin', 'R Parag', 'SB Dubey', 'SO Hetmyer', 'SV Samson', 'TA Boult', 'YBK Jaiswal', 'YS Chahal'))"
2015-04-11,"MA Chidambaram Stadium, Chepauk","('Chennai Super Kings', 'Sunrisers Hyderabad')",Chennai Super Kings,bat,Chennai Super Kings,"(('A Nehra', 'BB McCullum', 'DJ Bravo', 'DR Smith', 'F du Plessis', 'IC Pandey', 'MM Sharma', 'MS Dhoni', 'R Ashwin', 'RA Jadeja', 'SK Raina'), ('B Kumar', 'DA Warner', 'I Sharma', 'KL Rahul', 'KS Williamson', 'KV Sharma', 'NV Ojha', 'Parvez Rasool', 'RS Bopara', 'S Dhawan', 'TA Boult'))"
